Nº | TIPO | RESULTADO | PnL | BALANCE ACUM.
 96 | UP   | 🛡️ TRAIL | $  0.30 | $    5.40
 97 | UP   | ❌ LOSS   | $ -1.50 | $    3.90
 98 | UP   | 🛡️ TRAIL | $  0.10 | $    4.00
 99 | UP   | 🛡️ TRAIL | $  1.80 | $    5.80
100 | UP   | 🛡️ TRAIL | $  0.40 | $    6.20
101 | UP   | 🛡️ B-EVEN | $  0.00 | $    6.20
102 | DOWN | ❌ LOSS   | $ -1.50 | $    4.70
103 | UP   | 🛡️ TRAIL | $  0.60 | $    5.30
104 | UP   | ❌ LOSS   | $ -1.50 | $    3.80
105 | DOWN | ❌ LOSS   | $ -1.50 | $    2.30
106 | UP   | 🛡️ TRAIL | $  0.70 | $    3.00
107 | UP   | 🛡️ B-EVEN | $  0.00 | $    3.00
108 | UP   | 🛡️ TRAIL | $  0.70 | $    3.70
109 | UP   | 🛡️ TRAIL | $  1.20 | $    4.90
110 | UP   | 🛡️ TRAIL | $  1.10 | $    6.00
111 | UP   | 🛡️ B-EVEN | $  0.00 | $    6.00
112 | UP   | ✅ TARGET | $  3.00 | $    9.00
113 | UP   | 🛡️ TRAIL | $  1.40 | $   10.40
114 | UP   | 🛡️ TRAIL | $  0.40 | $   10.80
115 | UP   | 🛡️ B-EVEN | $  0.00 | $   10.80
116 | UP   | 🛡️ TRAIL | $  0.50 | $   11.30
117 | UP   | ❌ LOSS   | $ -1.50 | $    9.80
118 | DOWN | 🛡️ TRAIL | $  0.40 | $   10.20
119 | DOWN | 🛡️ TRAIL | $  0.30 | $   10.50
120 | DOWN | 🛡️ TRAIL | $  0.30 | $   10.80
121 | DOWN | ❌ LOSS   | $ -1.50 | $    9.30
122 | UP   | ❌ LOSS   | $ -1.50 | $    7.80
123 | DOWN | 🛡️ TRAIL | $  1.50 | $    9.30
124 | DOWN | ❌ LOSS   | $ -1.50 | $    7.80
125 | DOWN | 🛡️ B-EVEN | $  0.00 | $    7.80
126 | DOWN | 🛡️ TRAIL | $  0.30 | $    8.10
127 | UP   | ❌ LOSS   | $ -1.50 | $    6.60
128 | DOWN | ❌ LOSS   | $ -1.50 | $    5.10
129 | UP   | 🛡️ TRAIL | $  0.10 | $    5.20
130 | UP   | 🛡️ TRAIL | $  1.20 | $    6.40
131 | DOWN | 🛡️ TRAIL | $  1.40 | $    7.80
132 | UP   | 🛡️ B-EVEN | $  0.00 | $    7.80
133 | DOWN | ✅ TARGET | $  3.00 | $   10.80
134 | DOWN | 🛡️ TRAIL | $  0.50 | $   11.30
135 | DOWN | 🛡️ TRAIL | $  0.10 | $   11.40
136 | UP   | ❌ LOSS   | $ -1.50 | $    9.90
137 | DOWN | 🛡️ B-EVEN | $  0.00 | $    9.90
138 | DOWN | 🛡️ TRAIL | $  1.60 | $   11.50
139 | DOWN | 🛡️ TRAIL | $  0.50 | $   12.00
140 | DOWN | 🛡️ TRAIL | $  2.10 | $   14.10
141 | DOWN | 🛡️ TRAIL | $  0.40 | $   14.50
142 | DOWN | ❌ LOSS   | $ -1.50 | $   13.00
143 | DOWN | 🛡️ TRAIL | $  0.40 | $   13.40
144 | DOWN | 🛡️ TRAIL | $  1.10 | $   14.50
145 | DOWN | 🛡️ TRAIL | $  0.20 | $   14.70
146 | DOWN | 🛡️ B-EVEN | $  0.00 | $   14.70
147 | DOWN | 🛡️ TRAIL | $  0.40 | $   15.10
148 | DOWN | 🛡️ TRAIL | $  1.80 | $   16.90
